N T Rho C_v C_v_sig P P_sig Run_time
2048 0.5 1.2 3.145 0.073 8.339 0.011 7458
2048 1 0.8 2.513 0.036 1.001 0.007 7555
2048 3 0.3 1.641 0.003 0.991 0.003 7715
2048 1.06 0.827 2.436 0.038 1.013 0.007 7505
2048 0.827 1.06 2.96 0.065 4.677 0.008 7486
